"abortion","state","eth","male","age","educ"
0,"IN","White",0.5,"40-49","Some college"
0,"AZ","White",0.5,"50-59","HS"
1,"IL","Hispanic",0.5,"18-29","Post-grad"
1,"TN","White",-0.5,"70+","4-Year College"
0,"MD","White",0.5,"60-69","Post-grad"
1,"OH","White",0.5,"70+","Some college"
1,"MN","Hispanic",-0.5,"60-69","4-Year College"
0,"PA","White",0.5,"60-69","Post-grad"
1,"MT","White",0.5,"50-59","Some college"
1,"TX","White",0.5,"60-69","Post-grad"
1,"TX","White",-0.5,"40-49","HS"
1,"TX","Hispanic",0.5,"60-69","Post-grad"
0,"TX","White",-0.5,"50-59","HS"
1,"TX","White",-0.5,"60-69","Some college"
0,"GA","White",-0.5,"30-39","Post-grad"
1,"FL","Black",-0.5,"30-39","HS"
0,"IN","White",-0.5,"50-59","Some college"
1,"MN","White",0.5,"18-29","4-Year College"
0,"GA","White",0.5,"70+","Post-grad"
1,"AR","White",0.5,"40-49","4-Year College"
0,"VA","Black",-0.5,"50-59","HS"
0,"CA","White",0.5,"50-59","HS"
1,"UT","White",0.5,"40-49","4-Year College"
0,"TX","White",-0.5,"60-69","HS"
1,"TX","White",-0.5,"70+","Some college"
0,"CA","White",0.5,"60-69","4-Year College"
1,"WI","White",0.5,"30-39","Some college"
0,"WA","White",0.5,"60-69","No HS"
0,"MO","White",0.5,"50-59","HS"
1,"NY","White",0.5,"50-59","4-Year College"
0,"KY","White",0.5,"50-59","Some college"
0,"OR","White",-0.5,"18-29","Some college"
1,"KY","White",-0.5,"40-49","HS"
1,"CA","Hispanic",-0.5,"50-59","4-Year College"
1,"FL","White",0.5,"40-49","Some college"
1,"MS","White",-0.5,"70+","HS"
0,"GA","White",-0.5,"50-59","Post-grad"
1,"WI","White",-0.5,"50-59","Some college"
0,"MI","White",0.5,"18-29","Some college"
1,"IA","White",0.5,"60-69","HS"
1,"MD","Other",-0.5,"50-59","Some college"
1,"PA","White",-0.5,"40-49","Some college"
0,"CA","White",0.5,"50-59","Some college"
0,"NY","White",-0.5,"30-39","Some college"
1,"MD","White",-0.5,"30-39","Post-grad"
0,"VA","Black",-0.5,"70+","Post-grad"
0,"NV","Hispanic",0.5,"60-69","HS"
0,"CA","Black",0.5,"60-69","Some college"
1,"VA","White",0.5,"50-59","4-Year College"
1,"SC","White",0.5,"40-49","Some college"
0,"WI","White",-0.5,"70+","HS"
0,"MA","White",-0.5,"40-49","HS"
0,"KY","White",-0.5,"40-49","4-Year College"
0,"CA","Black",-0.5,"70+","Some college"
1,"AL","White",0.5,"30-39","HS"
0,"AL","Black",-0.5,"40-49","Some college"
1,"WA","Other",0.5,"70+","4-Year College"
0,"NC","White",0.5,"70+","Some college"
1,"KY","White",0.5,"70+","Some college"
0,"ME","White",-0.5,"60-69","HS"
0,"CA","White",0.5,"60-69","4-Year College"
0,"WA","White",0.5,"50-59","Some college"
0,"OH","White",-0.5,"50-59","Some college"
1,"NV","White",0.5,"60-69","Post-grad"
0,"AL","White",-0.5,"60-69","HS"
1,"CA","Other",0.5,"50-59","Some college"
0,"NY","Black",-0.5,"60-69","No HS"
1,"MI","White",-0.5,"30-39","Post-grad"
0,"CA","White",0.5,"40-49","Some college"
1,"FL","White",-0.5,"50-59","Some college"
0,"WA","White",-0.5,"70+","HS"
1,"CA","Other",-0.5,"60-69","4-Year College"
1,"MA","White",-0.5,"70+","4-Year College"
1,"AZ","White",-0.5,"30-39","HS"
1,"OH","White",-0.5,"70+","HS"
0,"CA","Other",-0.5,"18-29","Some college"
1,"GA","White",0.5,"70+","HS"
0,"HI","White",-0.5,"70+","Some college"
0,"CA","White",-0.5,"18-29","Some college"
0,"PA","White",-0.5,"30-39","4-Year College"
1,"AR","White",0.5,"40-49","Some college"
1,"NC","White",-0.5,"40-49","HS"
0,"AZ","White",-0.5,"60-69","HS"
1,"AL","White",-0.5,"30-39","4-Year College"
1,"CA","White",0.5,"70+","Some college"
0,"VA","White",-0.5,"60-69","Some college"
1,"TX","White",0.5,"50-59","HS"
1,"IL","White",-0.5,"60-69","Some college"
0,"IL","White",-0.5,"60-69","Post-grad"
0,"NY","Other",-0.5,"18-29","4-Year College"
