"","abortion","state","eth","male","age","educ","party"
"215",0,"PA","White",0.5,"18-29","4-Year College","Independent"
"216",0,"PA","White",-0.5,"60-69","HS","Republican"
"217",0,"NY","White",-0.5,"50-59","HS","Independent"
"218",0,"IL","White",-0.5,"18-29","HS","Independent"
"219",0,"FL","White",-0.5,"40-49","Some college","Independent"
"220",1,"SC","White",0.5,"40-49","HS","Independent"
"221",1,"CA","White",-0.5,"70+","HS","Independent"
"222",0,"MO","White",-0.5,"40-49","Some college","Democrat"
"223",1,"PA","White",-0.5,"40-49","HS","Democrat"
"224",1,"WI","White",-0.5,"60-69","HS","Democrat"
"225",1,"KY","White",-0.5,"40-49","4-Year College","Republican"
"226",0,"FL","White",0.5,"40-49","HS","Independent"
"227",1,"NC","White",0.5,"70+","HS","Republican"
"228",0,"LA","White",-0.5,"30-39","Some college","Independent"
"229",0,"OH","White",0.5,"60-69","Some college","Republican"
"230",0,"NY","White",0.5,"30-39","Some college","Democrat"
"231",1,"WA","White",-0.5,"70+","4-Year College","Independent"
"232",1,"NC","White",-0.5,"40-49","4-Year College","Republican"
"233",0,"FL","White",0.5,"60-69","4-Year College","Independent"
"234",0,"WI","White",-0.5,"60-69","4-Year College","Independent"
"235",0,"AL","White",0.5,"18-29","4-Year College","Independent"
"236",1,"OH","White",-0.5,"50-59","Some college","Republican"
"237",1,"FL","White",0.5,"70+","Post-grad","Independent"
"238",0,"FL","White",0.5,"70+","Post-grad","Democrat"
"239",0,"WI","White",-0.5,"30-39","Some college","Democrat"
"240",0,"WI","White",-0.5,"50-59","Some college","Independent"
"241",0,"NY","Hispanic",-0.5,"40-49","Some college","Democrat"
"242",1,"WV","White",-0.5,"30-39","HS","Independent"
"243",0,"IL","White",-0.5,"30-39","Some college","Democrat"
"244",0,"MI","White",-0.5,"40-49","Some college","Independent"
"245",0,"NM","Hispanic",-0.5,"60-69","4-Year College","Independent"
"246",0,"FL","White",0.5,"50-59","4-Year College","Independent"
"247",1,"WA","White",0.5,"40-49","4-Year College","Independent"
"248",0,"OH","White",0.5,"40-49","Some college","Independent"
"249",0,"FL","Black",-0.5,"18-29","Some college","Democrat"
"250",0,"FL","White",-0.5,"70+","Post-grad","Democrat"
"251",0,"CA","White",0.5,"40-49","4-Year College","Independent"
"252",1,"IN","White",-0.5,"40-49","Post-grad","Republican"
"253",0,"NC","White",0.5,"70+","Post-grad","Independent"
"254",0,"OR","White",0.5,"50-59","4-Year College","Independent"
"255",1,"TX","White",-0.5,"70+","4-Year College","Republican"
"256",1,"PA","White",-0.5,"60-69","Some college","Republican"
"257",1,"MA","White",-0.5,"30-39","4-Year College","Independent"
"258",1,"VA","White",-0.5,"40-49","Some college","Republican"
"259",0,"MO","White",-0.5,"50-59","Some college","Independent"
"260",1,"VA","White",0.5,"30-39","Post-grad","Republican"
"261",0,"VA","White",0.5,"40-49","Post-grad","Republican"
"262",1,"KY","White",-0.5,"50-59","Some college","Independent"
"263",0,"OH","White",-0.5,"40-49","4-Year College","Democrat"
"264",1,"WV","White",-0.5,"40-49","Some college","Republican"
"265",0,"FL","White",0.5,"30-39","Post-grad","Democrat"
"266",0,"AZ","White",-0.5,"50-59","Some college","Democrat"
"267",1,"AZ","White",0.5,"50-59","Some college","Republican"
"268",1,"FL","White",-0.5,"50-59","4-Year College","Independent"
"269",1,"MO","White",0.5,"50-59","4-Year College","Republican"
"270",1,"CA","Other",-0.5,"30-39","Some college","Democrat"
"271",0,"PA","White",-0.5,"60-69","Some college","Democrat"
"272",1,"IL","White",0.5,"50-59","HS","Republican"
"273",1,"VA","Hispanic",0.5,"60-69","4-Year College","Republican"
"274",1,"UT","White",0.5,"60-69","4-Year College","Republican"
"275",0,"CA","White",-0.5,"40-49","Some college","Democrat"
"276",0,"AL","White",0.5,"60-69","Some college","Republican"
"277",1,"FL","White",0.5,"40-49","Some college","Democrat"
"278",1,"FL","White",-0.5,"50-59","4-Year College","Democrat"
"279",1,"MN","White",-0.5,"60-69","Some college","Republican"
"280",0,"MO","White",-0.5,"30-39","4-Year College","Democrat"
"281",0,"FL","Black",0.5,"60-69","Some college","Democrat"
"282",1,"OK","White",0.5,"50-59","Some college","Independent"
"283",1,"MI","White",-0.5,"70+","4-Year College","Republican"
"284",0,"VA","White",-0.5,"30-39","Post-grad","Democrat"
"285",0,"MI","Other",-0.5,"30-39","Some college","Independent"
"286",0,"TX","White",-0.5,"60-69","4-Year College","Democrat"
"287",1,"IL","White",0.5,"40-49","4-Year College","Republican"
"288",1,"TX","White",0.5,"70+","Some college","Independent"
"289",0,"NY","White",-0.5,"50-59","Some college","Democrat"
"290",1,"AL","White",-0.5,"50-59","No HS","Republican"
"291",0,"MD","White",0.5,"30-39","Post-grad","Independent"
"292",0,"NY","White",-0.5,"30-39","Post-grad","Independent"
"293",1,"TX","White",0.5,"40-49","Some college","Republican"
